Name,Team,IP,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
Noah Cameron,KCR,107.2,89.00364729458919,91.03756756756758,89.9308179419525,NA,102.51945945945943,105.15974921630094,102.05860103626942,NA,NA,96.16621094538814,104.43628900193215,102.5527008446364,Noah Cameron,30184,702070
Shota Imanaga,CHC,121,95.3772387096774,76.7284375,NA,89.6883653846154,99.03397247271002,90.88607142857144,NA,NA,NA,92.68585552192908,109.90601749135018,102.4922511163623,Shota Imanaga,33829,684007
Carmen Mlodzinski,PIT,88.1,79.90971428571427,97.01513944223107,82.20357142857144,98.10904040404043,96.49900937627399,96.0313636363636,NA,NA,NA,92.0478468728622,104.34149863582587,95.64714410829689,Carmen Mlodzinski,27572,669387
Tanner Scott,LAD,42.2,119.70167832167833,NA,NA,NA,122.88374999999999,NA,NA,NA,NA,121.41966616661668,104.2308943280293,120.24025165323552,Tanner Scott,17586,656945
Mitch Keller,PIT,113.2,91.53388278388279,86.28781758957656,83.8425,NA,102.1957780658543,90.18746835443038,81.72,NA,NA,91.7128986143823,102.40328530024922,94.5392775214938,Mitch Keller,17594,656605
Kumar Rocker,TEX,102.2,82.04802139037434,99.9251356993737,82.49645569620252,81.16,94.37197346600331,NA,72.40024691358023,NA,NA,91.57502898645372,97.89153610968444,91.78582115618377,Kumar Rocker,31843,677958
Andrew Alvarez,WSN,57.2,84.65057034220531,99.43587786259542,NA,NA,92.81372881355934,109.15286764705883,93.45185185185186,NA,NA,96.12939613532717,101.65336731413407,101.82392736398845,Andrew Alvarez,29914,674841
Didier Fuentes,ATL,43.1,115.35947169811323,NA,NA,86.18181818181819,115.03044444444443,90.91,NA,NA,NA,113.46690670170827,102.70855190538762,114.34759526938238,Didier Fuentes,30661,800311
Kyle Leahy,STL,101.1,86.86799136069115,105.03133928571431,NA,NA,91.11613588922955,88.28669144981413,91.47702702702703,NA,NA,91.399959269074,105.65012359371288,100.09798754603703,Kyle Leahy,24763,681517
Connor Prielipp,MIN,72.1,85.12615384615384,92.9068493150685,NA,NA,110.50112044817928,125.85999999999999,96.39081081081079,NA,NA,101.86541707869459,103.88475275201336,102.31323779113677,Connor Prielipp,31857,687570
Andrew Abbott,CIN,117,90.72107066381156,NA,93.98941176470589,NA,113.68518159806293,91.03138686131388,88.0347027027027,NA,NA,95.04896862933428,99.4428662351966,94.10475055629621,Andrew Abbott,29911,671096
Michael McGreevy,STL,114.1,73.3008,86.12969899665552,81.34307692307692,NA,90.84356589147285,85.27834951456309,79.49747191011235,NA,NA,81.60280703198084,111.61826821179868,95.03656815216385,Michael McGreevy,29869,700241
Jack Flaherty,DET,86.1,105.71342431761785,76.66109589041095,NA,NA,90.23002518891685,NA,74.8942857142857,104.8577570093458,NA,99.73925923598485,94.7833620406424,94.20509577421946,Jack Flaherty,17479,656427
Emmet Sheehan,LAD,92.2,101.95819484240687,NA,NA,NA,98.16141700404856,91.49005714285715,104.15304029304029,NA,NA,100.0601452807137,106.49761717151438,107.66134731841049,Emmet Sheehan,29839,686218
Seth Lugo,KCR,117.2,91.02232558139534,81.88058666666666,87.75222222222223,NA,92.69144929885567,99.91630376383537,69.21802469135802,NA,NA,88.94173079569002,104.93683021656676,94.52104155789773,Seth Lugo,12447,607625
Brandon Woodruff,MIL,45.1,100.1170106761566,94.52032520325203,87.76061538461536,NA,115.276,90.57714285714285,88.17926470588236,NA,NA,94.89486974132375,104.94723833195249,99.04278560250391,Brandon Woodruff,16162,605540
Sean Newcomb,CHW,57.2,100.02922155688623,103.8140196078431,93.688,NA,NA,116.38952380952378,82.45172413793101,NA,NA,105.93196569056968,96.19700627473233,100.71014329687078,Sean Newcomb,16943,656794
Christian Scott,NYM,63.1,103.49001739130435,85.11,95.89702970297031,112.19560975609757,120.54655991201166,112.85,NA,NA,NA,106.62062272537872,96.9251964025241,101.89883991047267,Christian Scott,30107,681035
Garrett Whitlock,BOS,39,NA,94.04184300341296,NA,NA,103.97852348993287,NA,107.20395833333336,NA,NA,99.13901280462618,109.67447542337878,106.57193102023957,Garrett Whitlock,20191,676477
Clay Holmes,NYM,52.2,65.38,96.71937799043062,99.12827586206897,NA,106.33462238398543,130.36219178082192,96.92,NA,NA,101.49426511124061,102.44101346148621,102.08559810814263,Clay Holmes,13649,605280
David Bednar,NYY,45,106.1485804416404,NA,NA,102.16620209059235,NA,97.02103896103897,NA,NA,NA,102.78271843196387,106.80467923105913,109.03359366754616,David Bednar,19569,670280
Bubba Chandler,PIT,100.2,105.18686967113274,99.30195121951219,NA,NA,111.02958958482179,109.9752727272727,89.58222222222223,NA,NA,103.90809444181514,100.64348448161894,106.11372109156271,Bubba Chandler,29868,696149
J.T. Ginn,ATH,109.1,80.36787330316741,108.61607638888889,77.46448051948052,NA,95.46383763837638,NA,81.72257142857143,NA,NA,91.79764664680499,101.89985839699557,98.45697207995573,J.T. Ginn,27889,669372
Will Warren,NYY,102,110.78381954887216,103.66694386694387,NA,NA,97.27134502923975,111.55942028985508,96.33829787234042,NA,NA,104.62201148624136,104.3358555233803,110.31235325002339,Will Warren,30182,701542
Freddy Peralta,NYM,113.2,95.23222918531782,NA,NA,NA,110.8525071225071,99.17490636704119,82.92711009174312,NA,NA,95.70091500450897,104.02468424591237,100.84559258705323,Freddy Peralta,18679,642547
Matthew Boyd,CHC,59,88.65065168539324,97.18,NA,NA,108.29382550335569,100.70574468085107,98.40730038022815,NA,NA,95.59631784404276,108.82698227206794,101.367815389427,Matthew Boyd,15440,571510
Jared Jones,PIT,46,92.85120481927711,NA,NA,NA,110.96050632911391,115.28430769230772,94.45160000000004,NA,NA,100.89451801591855,106.4717091101391,109.77729913595294,Jared Jones,27863,683003
Trey Yesavage,TOR,85,91.80458083832335,NA,NA,137.6550361445783,105.56760233918132,NA,NA,NA,NA,108.43366261152063,89.80469902743768,96.99936152656602,Trey Yesavage,35456,702056
Bryce Miller,SEA,68.2,108.88615034168564,87.85877551020408,93.82065573770491,113.46806866952791,107.20062310949788,NA,NA,118.36279069767441,NA,108.0941248377372,111.56024101330281,117.62034686094236,Bryce Miller,29837,682243
Logan Henderson,MIL,38.1,112.94555102040817,NA,95.91758064516128,NA,108.85909090909091,NA,100.39791666666667,NA,NA,105.10475128644939,104.64391652372782,105.92221174004192,Logan Henderson,31475,701656
Spencer Miles,TOR,69,96.70497237569057,97.59550925925927,NA,NA,101.63954022988507,106.00841726618707,94.69999999999999,NA,NA,100.24838684153117,107.72006837809091,105.71954210835733,Spencer Miles,31621,693686
Juan Morillo,ARI,43,109.50482315112542,119.30678571428568,NA,NA,112.88598130841119,NA,93.99878787878788,NA,NA,108.66329366169244,99.22680765357505,106.38275092312855,Juan Morillo,21924,666661
Aroldis Chapman,BOS,34.2,106.47269035532995,113.49807106598986,NA,136.54188679245283,128.4796,NA,NA,NA,NA,115.91276824817521,105.517049270073,118.11808394160586,Aroldis Chapman,10233,547973
Framber Valdez,DET,113.1,64.90449999999998,96.70372921615203,NA,NA,123.55651162790696,115.60725868725868,95.735,NA,NA,102.44273933080581,97.04139579638243,101.4419680522237,Framber Valdez,17295,664285
Aaron Ashby,MIL,60,87.28615384615387,120.229110707804,NA,NA,135.07558441558442,119.2160396039604,115.09966101694916,NA,NA,120.7537742627926,92.21752849579978,115.20278431915753,Aaron Ashby,23550,676879
Tyler Rogers,TOR,47.2,NA,138.5982142857143,NA,NA,131.81442176870752,NA,NA,NA,NA,137.0189368650686,100.74802824355548,127.4740771147169,Tyler Rogers,15541,643511
Steven Okert,HOU,51.2,93.36602870813397,91.62894736842105,NA,NA,125.53303538175045,NA,NA,NA,NA,115.22407193822693,104.8064243475711,116.19369049946242,Steven Okert,13580,595345
Bryce Elder,ATL,113.2,81.957417721519,86.84059957173447,82.10158102766799,NA,88.34250569476082,NA,87.30394736842106,NA,NA,85.4446184675492,104.35029012592734,92.8597849181444,Bryce Elder,27779,693821
Walker Buehler,SDP,100,90.08517241379312,98.16325581395351,91.87947242206235,NA,100.92188309728616,NA,87.51655172413791,107.76141176470587,NA,95.34864236808782,98.9455568942489,96.59577243699387,Walker Buehler,19374,621111
