mlbam_id,full_name,height_str,height_in,pos_code
666185,Dylan Carlson,"6' 1""",73,7
681481,Kerry Carpenter,"6' 1""",73,9
471911,Carlos Carrasco,"6' 4""",76,1
694249,Cole Carrigg,"6' 2""",74,8
672629,Gerardo Carrillo,"6' 1""",73,1
682998,Corbin Carroll,"5' 10""",70,9
694497,Evan Carter,"6' 2""",74,8
676508,Ben Casparius,"6' 2""",74,1
680604,Blas Castaño,"5' 10""",70,1
682769,Eiberson Castellano,"6' 3""",75,1
592206,Nick Castellanos,"6' 3""",75,9
622491,Luis Castillo,"6' 2""",74,1
665645,Kervin Castro,"5' 10""",70,1
650489,Willi Castro,"6' 0""",72,4
695508,Cam Cauley,"5' 9""",69,8
676917,Cade Cavalli,"6' 4""",76,1
701852,Drew Cavanaugh,"6' 0""",72,2
656302,Dylan Cease,"6' 2""",74,1
677944,Slade Cecconi,"6' 4""",76,1
672021,Eric Cerantola,"6' 5""",77,1
696149,Bubba Chandler,"6' 3""",75,1
665953,Andrés Chaparro,"6' 0""",72,3
547973,Aroldis Chapman,"6' 4""",76,1
656305,Matt Chapman,"6' 1""",73,5
691907,Tsung-Che Cheng,"5' 8""",68,6
665862,Jazz Chisholm Jr.,"5' 11""",71,4
683409,Angel Chivilli,"6' 2""",74,1
694192,Jackson Chourio,"6' 1""",73,7
701675,Nathan Church,"5' 10""",70,8
650644,Aaron Civale,"6' 1""",73,1
703601,Max Clark,"5' 11""",71,8
672016,Denzel Clarke,"6' 3""",75,8
664199,Taylor Clarke,"6' 3""",75,1
682729,Jonatan Clase,"5' 10""",70,7
664076,Garrett Cleavinger,"6' 1""",73,1
665019,Kody Clemens,"6' 0""",72,4
676391,Ernie Clement,"6' 0""",72,4
543037,Gerrit Cole,"6' 4""",76,1
805904,Zach Cole,"6' 2""",74,7
686555,Isaac Collins,"5' 8""",68,7
686560,Gavin Collyer,"6' 1""",73,1
624424,Michael Conforto,"5' 11""",71,10
665052,Griffin Conine,"6' 1""",73,9
661388,William Contreras,"5' 10""",70,2
575929,Willson Contreras,"6' 0""",72,3
702047,Alex Cook,"6' 2""",74,1
695257,Billy Cook,"6' 0""",72,8
571578,Patrick Corbin,"6' 4""",76,1
683000,Riley Cornelio,"6' 3""",75,1
692030,Jose Corniell,"6' 2""",74,1
621043,Carlos Correa,"6' 3""",75,6
666126,Carlos Cortes,"5' 7""",67,9
676680,Tom Cosgrove,"6' 2""",74,1
543056,Danny Coulombe,"5' 10""",70,1
681297,Colton Cowser,"6' 3""",75,8
813841,Jonah Cox,"6' 2""",74,8
641487,J.P. Crawford,"6' 0""",72,6
702222,Justin Crawford,"6' 2""",74,8
686611,Dylan Crews,"5' 11""",71,9
681867,Cooper Criswell,"6' 6""",78,1
676105,Jeff Criswell,"6' 4""",76,1
676979,Garrett Crochet,"6' 6""",78,1
630105,Jake Cronenworth,"5' 11""",71,4
699625,Jimmy Crooks,"6' 0""",72,2
689441,Coleman Crow,"5' 10""",70,1
691718,Pete Crow-Armstrong,"6' 0""",72,8
518585,Fernando Cruz,"6' 2""",74,1
665833,Oneil Cruz,"6' 7""",79,8
674444,Steven Cruz,"6' 7""",79,1
669360,Trei Cruz,"6' 0""",72,8
672442,Yovanny Cruz,"6' 0""",72,1
621016,Jose Cuas,"6' 3""",75,1
701785,Kaelen Culpepper,"5' 10""",70,6
675540,Xzavion Curry,"6' 0""",72,1
694753,Khristian Curtis,"6' 5""",77,1
681168,Luis Curvelo,"6' 1""",73,1
518595,Travis d'Arnaud,"6' 0""",72,2
689149,Chad Dallas,"5' 11""",71,1
689546,Nick Davila,"6' 3""",75,1
680779,Henry Davis,"5' 11""",71,2
699823,Tyler Davis,"6' 2""",74,1
701474,Duncan Davitt,"6' 3""",75,1
681909,Justin Dean,"5' 8""",68,8
594798,Jacob deGrom,"6' 4""",76,1
646241,Enmanuel De Jesus,"6' 3""",75,1
650559,Bryan De La Cruz,"6' 0""",72,9
682829,Elly De La Cruz,"6' 6""",78,6
800050,Chase DeLauter,"6' 3""",75,9
680728,Adrian Del Castillo,"5' 9""",69,10
801725,Luis De León,"6' 3""",75,1
669384,Raynel Delgado,"6' 0""",72,4
691277,Deyvison De Los Santos,"6' 1""",73,5
660853,Enyel De Los Santos,"6' 3""",75,1
660787,Yerry De los Santos,"6' 3""",75,1
676356,Jonny DeLuca,"5' 10""",70,9
800543,Josue De Paula,"6' 3""",75,9
672282,Reid Detmers,"6' 2""",74,1
606965,Chris Devenski,"6' 3""",75,1
646240,Rafael Devers,"6' 0""",72,3
701305,Zach Dezenzo,"6' 5""",77,7
621242,Edwin Díaz,"6' 3""",75,1
553869,Elias Díaz,"6' 1""",73,2
646242,Jhonathan Díaz,"6' 0""",72,1
673237,Yainer Diaz,"5' 11""",71,2
650490,Yandy Díaz,"6' 0""",72,10
700270,Yilber Díaz,"6' 0""",72,1
693307,Dillon Dingler,"6' 1""",73,2
702021,Will Dion,"5' 10""",70,1
690928,Hunter Dobbins,"6' 2""",74,1
677976,Randy Dobnak,"6' 1""",73,1
689266,Dylan Dodd,"6' 2""",74,1
801403,Chase Dollander,"6' 2""",74,1
691176,Jasson Domínguez,"5' 9""",69,9
622554,Seranthony Domínguez,"6' 1""",73,1
680977,Brendan Donovan,"5' 11""",71,5
696062,Wilber Dotel,"6' 3""",75,1
666808,Camilo Doval,"6' 2""",74,1
686668,Brenton Doyle,"6' 3""",75,8
684442,Kohl Drake,"6' 5""",77,1
676263,Jack Dreyer,"6' 2""",74,1
675660,Shane Drohan,"6' 2""",74,1
650960,Daniel Duarte,"6' 0""",72,1
643289,Mauricio Dubón,"5' 11""",71,7
694362,Blake Dunn,"5' 9""",69,8
686554,Oliver Dunn,"5' 10""",70,5
679922,Carlos Duran,"6' 7""",79,1
677649,Ezequiel Duran,"5' 10""",70,6
680776,Jarren Duran,"6' 0""",72,7
661395,Jhoan Duran,"6' 5""",77,1
660710,Rodolfo Durán,"5' 8""",68,2
702332,Caleb Durbin,"5' 6""",66,5
813349,Connelly Early,"6' 3""",75,1
681987,Nate Eaton,"5' 11""",71,7
671109,Jake Eder,"6' 4""",76,1
669242,Tommy Edman,"5' 10""",70,4
605218,Carl Edwards Jr.,"6' 3""",75,1
